Date,Per UE sessionP_smf mempool needed,Per UE packetP_smf mempool needed,Per UE globalP_smf mempool needed,Static memory needed for transactionP_smf
,0.08331298828125,,,
,0.08331298828125,,,
,,0.026227678571429002,,
,,0.028799019607842997,,
,,0.027199074074073997,,
,,,0.000480993470149,
,,,0.000480993470149,
,,,0.000484609962406,
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
,,,,0.0012521743774409999
2024-05-21,,,,0.0012521743774414062
2024-05-21,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
2024-05-22,,,,0.0012521743774414062
