timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y
2024-07-17 06:50:05,0,0,0,10000
2024-07-17 06:50:06,0,0,0,10000
2024-07-17 06:50:07,0,0,0,10000
2024-07-17 06:50:08,0,0,0,10000
2024-07-17 06:50:09,0,0,0,10000
2024-07-17 06:50:10,0,0,18,9982
2024-07-17 06:50:11,0,0,18,9982
2024-07-17 06:50:12,0,0,18,9982
2024-07-17 06:50:13,0,0,18,9982
2024-07-17 06:50:14,0,0,18,9982
2024-07-17 06:50:15,0,0,18,9982
2024-07-17 06:50:16,0,0,18,9982
2024-07-17 06:50:17,0,0,18,9982
2024-07-17 06:50:18,0,0,18,9982
2024-07-17 06:50:19,0,0,18,9982
2024-07-17 06:50:20,0,0,18,9982
2024-07-17 06:50:21,0,0,18,9982
2024-07-17 06:50:22,0,0,18,9982
2024-07-17 06:50:23,0,0,18,9982
2024-07-17 06:50:24,0,0,18,9982
2024-07-17 06:50:25,0,0,93,9907
